Date,Close_x,Open_x,High_x,Low_x,Volume_x,Change_x,Close_y,Open_y,High_y,Low_y,Volume_y,Change_y
2017-12-18,51200,50620,51240,50620,7190000.0,0.0115,2481.88,2488.83,2488.83,2477.29,322770.0,-0.0001
2017-12-19,51560,51540,52080,51520,10510000.0,0.006999999999999999,2478.53,2487.83,2498.67,2470.49,308390.0,-0.0013
2017-12-20,50880,51500,51760,50820,10070000.0,-0.0132,2472.37,2473.82,2484.5,2470.62,236180.0,-0.0025
2017-12-21,49140,51000,51060,49100,15310000.0,-0.0342,2429.83,2471.34,2471.73,2429.83,247330.0,-0.0172
2017-12-22,49700,49400,49960,49240,11170000.0,0.011399999999999999,2440.54,2437.59,2444.57,2426.94,230410.0,0.0044
2017-12-26,48200,49760,50100,48200,15910000.0,-0.0302,2427.34,2447.67,2457.19,2427.34,224640.0,-0.0054
2017-12-28,50960,49560,50960,49500,8880000.0,0.057300000000000004,2467.49,2439.31,2467.51,2437.26,220340.0,0.0126
2018-01-02,51020,51380,51400,50780,8460000.0,0.0012,2479.65,2474.86,2481.02,2465.94,262210.0,0.0049
2018-01-03,51620,52540,52560,51420,9920000.0,0.0118,2486.35,2484.63,2493.4,2481.91,331090.0,0.0027
2018-01-04,51080,52120,52180,50640,11640000.0,-0.0105,2466.46,2502.5,2502.5,2466.45,333840.0,-0.008
2018-01-05,52120,51300,52120,51200,9330000.0,0.0204,2497.52,2476.85,2497.52,2475.51,308770.0,0.0126
2018-01-08,52020,52400,52520,51500,8359999.999999999,-0.0019,2513.28,2510.7,2515.37,2494.18,311430.0,0.0063
2018-01-09,50400,51460,51720,49980,17830000.0,-0.0311,2510.23,2510.73,2524.73,2498.41,374320.0,-0.0012
2018-01-10,48840,50500,50520,48640,18530000.0,-0.031,2499.75,2516.33,2516.82,2493.98,444020.0,-0.0042
2018-01-11,48240,48200,49260,48020,23950000.0,-0.0123,2487.91,2496.86,2502.52,2483.82,444340.0,-0.004699999999999999
2018-01-12,48200,48240,48480,46760,26770000.0,-0.0008,2496.42,2499.87,2500.87,2482.15,438780.0,0.0034000000000000002
2018-01-15,48540,48800,48980,47920,10080000.0,0.0070999999999999995,2503.73,2510.97,2513.3,2496.18,404550.0,0.0029
2018-01-16,50000,48760,50140,48620,13200000.0,0.0301,2521.74,2504.16,2524.55,2498.55,341610000.0,0.0072
2018-01-17,49620,50020,50020,49060,10570000.0,-0.0076,2515.43,2517.19,2521.97,2506.49,336710000.0,-0.0025
2018-01-18,49900,50020,50640,49820,14560000.0,0.005600000000000001,2515.81,2527.67,2532.08,2512.69,333110000.0,0.0002
2018-01-19,49320,50380,50380,49040,9040000.0,-0.0116,2520.26,2519.67,2524.33,2513.09,351840000.0,0.0018
2018-01-22,48240,48640,48680,47960,12310000.0,-0.0219,2502.11,2516.9,2517.12,2488.44,342990000.0,-0.0072
2018-01-23,49160,48660,49160,48300,12860000.0,0.0191,2536.6,2510.35,2536.6,2507.96,370010000.0,0.0138
2018-01-24,49340,48860,49700,48560,9170000.0,0.0037,2538.0,2533.86,2547.22,2531.31,371090000.0,0.0006
2018-01-25,50260,49220,50360,49160,10990000.0,0.018600000000000002,2562.23,2536.96,2564.43,2536.73,514600000.0,0.0095
2018-01-26,50780,50500,50780,49840,10340000.0,0.0103,2574.76,2560.69,2574.76,2553.53,400650000.0,0.0049
2018-01-29,51220,51200,51480,50900,11640000.0,0.0087,2598.19,2588.87,2607.1,2587.55,437470000.0,0.0091
2018-01-30,49800,50440,50640,49780,12200000.0,-0.0277,2567.74,2590.41,2599.17,2567.07,397040000.0,-0.011699999999999999
2018-01-31,49900,50020,54140,49600,64190000.0,0.002,2566.46,2557.37,2597.14,2553.01,403050000.0,-0.0005
2018-02-01,49820,50620,50960,49720,25790000.0,-0.0016,2568.54,2578.91,2583.74,2564.59,595150000.0,0.0008
2018-02-02,47700,49380,49400,47700,27890000.0,-0.0426,2525.39,2565.99,2565.99,2519.6,481820000.0,-0.0168
2018-02-05,47920,46500,48320,46000,25870000.0,0.0046,2491.75,2487.34,2503.99,2476.24,442350000.0,-0.013300000000000001
2018-02-06,47420,46600,47920,46580,18250000.0,-0.0104,2453.31,2437.02,2460.28,2409.38,582840000.0,-0.0154
2018-02-07,45800,48240,48260,45800,23370000.0,-0.0342,2396.56,2483.72,2484.18,2396.56,460080000.0,-0.0231
2018-02-08,46000,46120,46620,45980,22480000.0,0.0044,2407.62,2400.17,2423.88,2393.46,362420000.0,0.0046
2018-02-09,44700,44440,45180,44420,17400000.0,-0.028300000000000002,2363.77,2346.73,2372.9,2346.73,489110000.0,-0.0182
2018-02-12,45720,45100,46320,45040,15550000.0,0.022799999999999997,2385.38,2380.49,2397.9,2367.31,352290000.0,0.0091
2018-02-13,47540,46200,48060,46200,18750000.0,0.0398,2395.19,2402.89,2421.8,2388.54,423420000.0,0.0040999999999999995
2018-02-14,49000,48080,49100,47940,16880000.0,0.030699999999999998,2421.83,2412.47,2426.63,2408.02,305740000.0,0.0111
2018-02-19,48380,49800,49800,47860,14770000.0,-0.0127,2442.82,2452.52,2455.12,2428.15,322140000.0,0.0087
2018-02-20,47400,48040,48160,47220,10100000.0,-0.0203,2415.12,2433.35,2438.48,2411.23,421480000.0,-0.0113
2018-02-21,47280,47280,47580,46840,12810000.0,-0.0025,2429.65,2417.73,2432.45,2404.02,432280000.0,0.006
2018-02-22,46760,47260,47260,46760,8670000.0,-0.011000000000000001,2414.28,2417.18,2422.62,2405.23,349490000.0,-0.0063
2018-02-23,47220,46760,47800,46760,12090000.0,0.0098,2451.52,2427.13,2451.52,2427.13,300580000.0,0.0154
