year,industry,code,label,label,6000201001O0,6000207003O0,6000403001O0,6000901001D3,6000901002D1,6000901002D3,6000902001D2,6000903001D2,6000903016D1,6000904001D3,6000906001D6,6000908001D2,6000908001D3,6000908001D7,CO10100170O0,DR00000052,DR00000082,DR00000113,DR00000136,DR00000156,FNMKFN02,S41000210FD1,S41000210FD2,S41B0D1009O0
2013,C,7460,0,0,1.809874131,1.498860852,2.044506952,13.92843228,-2.067963185,0.24538154,0.26475107,-2.488095249,-1.03803068,1,-1.951849101,16.69806,-2.488865779,1,1.54861373,0,3,0,3,0,0,-1.22307575,-1.036122797,1.419252804
2017,J,950110,0,0,0.453718243,1.498860852,1.210439341,14.64334161,-0.448676272,-0.227256721,0.128231894,-2.167870897,-0.224001557,0,-1.951849101,14.43208418,0.167842071,0,2.721177776,0,1,1,1,0,0,0.991199523,1.052661638,0.29364383
2017,C,25860,0,0,1.809874131,1.498860852,0.331850714,15.44257805,0.07735122,-0.227256721,2.424419947,-1.074353786,0.755877599,0,-1.951849101,15.429365,0.256661323,0,0.903081176,0,0,0,0,0,0,0.04440847,-0.081035832,0.525266414
2016,C,66130,0,0,1.809874131,1.498860852,2.044506952,13.66887807,0.07735122,-0.227256721,2.424419947,-1.074353786,0.844361775,0,-1.951849101,12.59945911,0.235156563,0,0.32294179,0,0,0,0,0,0,0.027770925,0.465939068,0.024804566
2017,C,8870,0,0,1.809874131,1.498860852,2.044506952,14.62913622,0.004234006,0.24538154,0.013382041,-1.074353786,0.210851804,1,-1.951849101,14.87106621,0.139948442,0,0.91567986,0,0,0,0,0,0,-0.969365419,-0.598845372,0.525266414
2017,M,5810,0,0,1.809874131,1.498860852,2.044506952,15.82713532,-0.25098923,0.24538154,2.424419947,-1.074353786,0.543878844,0,-1.951849101,16.42905121,0.449856104,0,0.543432196,0,0,0,0,0,0,-0.269894747,-0.169259863,0.525266414
2013,C,4380,0,0,1.809874131,1.498860852,2.044506952,14.51426452,0.04656845,0.24538154,2.424419947,-1.074353786,0.484425192,0,-1.951849101,15.63539098,0.457429493,0,1.530015673,0,0,0,0,0,0,0.798036888,1.086961301,0.525266414
2017,C,37400,0,0,1.809874131,1.498860852,2.084329632,15.64584715,-0.938980065,-0.227256721,6.189197108,-1.315889883,-0.427518744,2,-0.005549932,16.83842878,-0.198767904,1,0.543432196,1,0,0,0,0,0,-1.054747293,-0.556381611,0.525266414
2016,C,38460,0,0,0.065438376,1.498860852,2.044506952,13.85695224,-0.735236645,0.24538154,2.424419947,-0.271724668,-0.266104476,0,-1.951849101,13.97778798,-0.034456935,0,0.543432196,0,0,0,0,0,0,-0.80268612,-0.615245978,0.875582483
2014,E,67900,0,0,0.109180614,1.498860852,2.044506952,14.02695798,-1.115850633,0.24538154,2.424419947,-1.074353786,0.427429152,0,-1.951849101,13.11558575,0.154098846,0,0.392534519,1,0,0,0,0,0,1.267866557,1.247112827,0.525266414
2017,C,95190,0,0,1.809874131,0.260095405,2.044506952,14.40306311,-1.219850545,0.24538154,0.032299967,-0.804205117,-0.196022737,0,-0.005740283,15.05541276,-0.078009877,1,0.543432196,0,0,0,0,0,0,-1.203072027,-0.510352789,0.519127394
2013,G,58530,0,0,0.052153696,1.498860852,2.044506952,12.90606845,-0.314772293,0.24538154,2.424419947,-0.466347058,-0.624448703,0,-1.951849101,14.48297094,0.087260061,0,0.543432196,0,0,0,1,0,0,-0.169721203,0.08079383,0.061716264
2017,G,2700,0,0,0.064358321,0.024362787,0.322454045,13.55985346,0.07735122,-0.227256721,2.424419947,-1.074353786,-0.10933908,0,-1.951849101,15.81516973,0.608432006,0,0.543432196,0,0,0,0,0,0,-1.165837305,-1.553954509,0.525266414
2014,C,58820,0,0,0.014351762,1.498860852,2.044506952,13.24227571,0.07735122,0.24538154,2.424419947,-1.074353786,-2.11246342,0,-1.951849101,14.99329582,0.005662387,0,0.543432196,1,0,1,3,3,0,0.09536209,-0.394016909,0.201845057
2014,C,69510,0,0,0.145362465,1.498860852,0.397627403,14.33235884,0.07735122,-0.227256721,2.424419947,-1.074353786,0.750641556,0,-1.951849101,14.37691404,0.409106294,0,0.607312079,0,0,0,0,0,0,1.156169133,0.274719475,0.525266414
2015,C,14680,0,0,1.809874131,0.045914719,2.044506952,15.41548502,-0.722719377,0.24538154,2.424419947,-0.446461403,0.154550311,0,-1.951849101,15.66405658,0.356008502,0,0.543432196,0,0,0,0,0,0,0.99039159,0.197117368,0.013216666
2017,C,5500,0,0,1.809874131,0.023024158,2.044506952,14.60802087,0.07735122,-0.227256721,2.424419947,-1.074353786,1.013724826,0,-1.951849101,15.10230112,0.812349508,0,0.543432196,0,0,0,0,0,0,-0.387589115,-0.480796794,0.525266414
2015,G,32940,0,0,1.809874131,0.025969143,2.044506952,14.0094122,-2.00799227,0.24538154,2.424419947,-0.985890295,-0.215738074,3,-0.070224488,15.22309147,-0.080280197,0,0.2893453,1,0,0,0,0,0,1.602172421,0.901056565,1.664577112
2014,C,73190,0,0,1.809874131,1.498860852,2.044506952,13.0216902,0.07735122,0.24538154,2.424419947,-1.074353786,0.839670072,0,-0.108230425,14.37658065,-0.508766952,1,0.386535146,0,0,0,0,0,0,0.087960789,-0.801758855,0.525266414
2014,C,54300,0,0,1.809874131,1.498860852,1.149360987,12.14109382,-0.14316702,-0.227256721,2.424419947,-1.290194302,-3.945837981,2,-1.951849101,14.45074298,-0.238470297,1,0.031372253,0,3,1,3,1,0,3.771924184,3.332379906,2.154716991
2016,C,51900,0,0,0.045133337,0.155414595,0.251979021,17.5492915,-0.456964087,0.24538154,2.424419947,-1.074353786,0.688306379,0,-1.951849101,18.33444431,0.704902041,0,0.543432196,0,0,0,0,0,0,-0.546221357,-0.019691064,0.525266414
2015,C,500,0,0,1.809874131,1.498860852,0.439912417,15.4144067,0.07735122,-0.227256721,0.90698575,-0.303106764,0.414708547,4,-1.951849101,15.1293365,0.013335485,0,0.543432196,0,0,0,0,0,0,-0.428995909,-0.424559028,0.525266414
2013,E,60150,0,0,1.809874131,1.498860852,2.044506952,14.76807524,-1.513183046,0.24538154,0.14318832,-0.309971674,0.318707812,2,-1.951849101,15.2594376,0.020525881,0,0.543432196,0,0,3,0,0,0,0.000332573,-0.050613362,0.525266414
2013,C,14620,0,0,1.809874131,0.061576682,2.044506952,15.4662012,0.07735122,-0.227256721,2.424419947,-1.074353786,1.065691797,0,-1.951849101,16.73304282,0.706682386,0,0.543432196,0,0,0,0,0,0,0.194634382,0.478887299,0.525266414
2017,C,73240,0,0,1.809874131,1.498860852,0.270772361,17.53175176,-1.535789259,0.24538154,0.763979109,-1.622216607,-0.417656559,4,-0.072278095,17.22961962,-0.147416859,1,0.063768869,0,0,0,0,0,0,-1.847874423,-1.368532834,1.53479264
2014,C,65500,0,0,0.219778273,0.941056123,1.107075973,12.88321078,-1.407439288,0.24538154,0.162643475,-1.06189214,-0.40258985,0,-1.951849101,12.61453994,-0.013980231,1,0.913280111,0,1,0,3,1,0,-0.479778835,-0.353449374,0.519127394
2015,C,80220,0,0,0.682797965,1.498860852,2.044506952,13.61593747,0.07735122,-0.227256721,2.424419947,-0.560597907,-0.377194058,0,-1.951849101,15.30394449,-0.04874482,1,0.543432196,0,1,0,1,0,0,0.966743874,1.149807587,2.547857674
2013,C,4430,0,0,1.809874131,1.498860852,0.139218984,15.95181427,-0.604675781,0.24538154,0.064397265,-1.002371554,0.214398705,0,-1.951849101,15.53616054,0.137542823,0,0.543432196,0,0,0,0,0,0,-0.406292522,-0.247674568,0.525266414
2017,C,54540,0,0,1.809874131,1.498860852,2.044506952,13.86700105,0.07735122,-0.227256721,2.424419947,-1.074353786,0.47372961,3,-1.951849101,13.55338512,0.07234437,0,0.543432196,0,0,0,0,0,0,-1.774175978,-1.085878183,0.525266414
2013,C,67290,0,0,1.809874131,1.498860852,2.044506952,14.02671584,-1.533699389,0.24538154,2.424419947,-0.993275571,-0.427419832,0,-1.951849101,12.88133478,-0.145281238,1,0.244350001,0,0,0,0,0,0,-0.882388251,-0.85159246,0.525266414
2014,C,3720,0,0,1.809874131,1.498860852,2.044506952,14.40882152,-0.60937342,0.24538154,0.116948621,-1.074353786,-0.10233393,3,-0.090110179,16.03194395,-0.5222976,1,0.543432196,0,0,0,0,0,0,-0.501927803,-0.74558954,0.525266414
2014,C,32960,0,0,1.809874131,1.498860852,2.044506952,13.38017459,0.07735122,-0.227256721,2.424419947,-1.074353786,1.467422592,0,-1.951849101,13.75396033,0.336044737,0,1.669201131,0,0,0,0,0,0,0.232437045,0.624789203,0.525266414
2014,C,36810,0,0,1.809874131,1.498860852,2.044506952,13.71629273,-0.652552551,0.24538154,2.424419947,-0.336708516,0.068406605,0,-1.951849101,13.45057652,0.155126469,0,0.543432196,1,0,0,0,0,0,-0.025339525,-0.74594707,0.525266414
2017,C,224110,0,0,0.036384889,1.565392822,2.044506952,13.79593508,0.07735122,-0.227256721,2.424419947,-1.074353786,-0.200738192,0,-1.951849101,15.43375979,0.585960288,0,0.543432196,0,0,0,0,0,0,-0.693759447,-1.560363641,0.511044127
2015,J,92130,0,0,0.1831644,1.498860852,2.044506952,12.80739949,0.07735122,-0.227256721,2.424419947,-1.074353786,0.700107111,0,-1.951849101,13.55750374,1.117742125,0,1.45022401,0,0,0,0,0,0,0.237158728,0.453555127,0.525266414
2014,C,9320,0,0,0.25509608,0.666904845,2.044506952,13.20504755,-1.290426451,0.24538154,2.424419947,-0.62997585,-0.588042557,0,-1.951849101,14.34291394,0.023409255,0,0.028372567,0,0,0,0,0,0,-0.127992693,0.001060269,0.525266414
2013,G,106190,0,0,0.116632995,1.498860852,2.044506952,13.74774199,0.07735122,-0.227256721,2.424419947,-1.074353786,0.758976446,0,-1.951849101,14.17790108,0.597995692,0,0.256348748,0,0,0,0,0,0,-0.368470532,-0.333696029,0.525266414
2016,H,5430,0,0,1.809874131,1.498860852,2.044506952,15.05964243,0.07735122,0.24538154,2.424419947,-1.074353786,0.810705716,0,-1.951849101,15.87521611,0.24984261,0,1.125657921,0,0,0,0,0,0,0.841092933,1.184875919,0.525266414
2014,M,900110,0,0,1.809874131,1.498860852,2.044506952,14.51193025,0.07735122,-0.227256721,2.424419947,-1.074353786,0.594564143,3,-1.951849101,16.36873184,-0.234287364,0,0.543432196,0,1,0,1,0,0,1.783978878,1.217692812,1.680856698
2016,C,90080,0,0,1.809874131,1.498860852,1.637987816,14.2433384,-1.044980305,0.24538154,0.092456043,-0.990207583,-0.357388794,0,-0.00031531,14.59821207,0.048101928,0,2.518112436,0,0,0,0,0,0,-0.150023514,-0.155632727,0.525266414
2017,R,204630,0,0,0.537962554,1.498860852,2.044506952,13.12083584,0.07735122,-0.227256721,2.424419947,-1.074353786,-0.634840501,0,-0.016407178,14.77232038,-0.259859558,1,0.316342479,0,0,0,0,0,0,-1.022746969,-0.885816656,0.154419459
2015,C,102460,0,0,1.809874131,0.372004813,2.044506952,14.72391523,0.07735122,0.24538154,2.424419947,-1.074353786,0.534709438,0,-1.951849101,11.79248579,0.23181133,0,1.722595552,0,0,0,0,0,0,1.281199809,-0.202655579,1.154031225
